номер,url,заказчик,объект,Размещено,Обновлено,Окончание подачи заявок,Общая информация
№ 0122200002521004070,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0122200002521004070,КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ПРАВИТЕЛЬСТВА ХАБАРОВСКОГО КРАЯ,Поставка лекарственного препарата для медицинского применения Алтеплаза,25.06.2021,09.07.2021,06.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'АО «Сбербанк-АСТ»', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.sberbank-ast.ru', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'Поставка лекарственного препарата для медицинского применения Алтеплаза', 'Этап закупки': 'Определение поставщика завершено', 'Закупка лекарственного препарата': 'Да', 'Сведения о связи с позицией плана-графика': '202103223000379001000107'}"
№ 0816500000621008576,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0816500000621008576,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ЦЕНТР ЗАКУПОК РЕСПУБЛИКИ САХА (ЯКУТИЯ)""",Поставка медицинского расходного материала (маска) для нужд Заказчика (ПТД),29.06.2021,09.07.2021,08.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'Национальная электронная площадка', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.etp-ets.ru', 'Размещение осуществляет': 'Уполномоченное учреждение', 'Наименование объекта закупки': 'Поставка медицинского расходного материала (маска) для нужд Заказчика (ПТД)', 'Этап закупки': 'Работа комиссии', 'Сведения о связи с позицией плана-графика': '202103163000288001000069'}"
№ 0134200000121002970,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0134200000121002970,МИНИСТЕРСТВО ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК ИРКУТСКОЙ ОБЛАСТИ,Оказание услуг по обеспечению функционирования регионального фрагмента единой государственной системы в сфере здравоохранения Иркутской области,30.06.2021,09.07.2021,09.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'Оказание услуг по обеспечению функционирования регионального фрагмента единой государственной системы в сфере здравоохранения Иркутской области', 'Этап закупки': 'Определение поставщика завершено', 'Сведения о связи с позицией плана-графика': '202103342000021001000118'}"
№ 0851200000621004090,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0851200000621004090,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ НОВОСИБИРСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ КОНТРАКТНОЙ СИСТЕМЫ""","Поставка лекарственных препаратов для медицинского применения 
МНН хлоргексидин (№137-5)",09.07.2021,09.07.2021,19.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'АО «Сбербанк-АСТ»', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.sberbank-ast.ru', 'Размещение осуществляет': 'Уполномоченное учреждение', 'Наименование объекта закупки': 'Поставка лекарственных препаратов для медицинского применения \nМНН хлоргексидин (№137-5)', 'Этап закупки': 'Подача заявок', 'Закупка лекарственного препарата': 'Да', 'Сведения о связи с позицией плана-графика': '202103513000254001000007'}"
№ 0416200000321000001,https://zakupki.gov.ru/epz/order/notice/zk20/view/common-info.html?regNumber=0416200000321000001,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЯКУТОПТТОРГ""","Поставка кровельных материалов по объекту: «Реконструкция
склада под овощехранилище по ул. Мореходов, 5, пос. Черский, Нижнеколымского
улуса, РС (Я)»",01.07.2021,09.07.2021,09.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Запрос котировок в электронной форме', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'АО «ЕЭТП»', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://roseltorg.ru', 'Размещение осуществляет': 'Заказчик, осуществляющий закупки в соответствии с Федеральным законом № 44-ФЗ, в связи с неразмещением положения о закупке в соответствии с положениями Федерального закона № 223-ФЗ', 'Наименование объекта закупки': 'Поставка кровельных материалов по объекту: «Реконструкция\r\nсклада под овощехранилище по ул. Мореходов, 5, пос. Черский, Нижнеколымского\r\nулуса, РС (Я)»', 'Этап закупки': 'Определение поставщика завершено', 'Сведения о связи с позицией плана-графика': 'Связь с позицией плана-графика не установлена'}"
№ 0823600003621000149,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0823600003621000149,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ СКОВОРОДИНСКОГО РАЙОНА ""СЛУЖБА ЗАКАЗЧИКА""",Ремонт системы отопления в здании МБОУ СОШ ж.д.ст.БАМ,01.07.2021,09.07.2021,09.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Уполномоченное учреждение', 'Наименование объекта закупки': 'Ремонт системы отопления в здании МБОУ СОШ ж.д.ст.БАМ', 'Этап закупки': 'Работа комиссии', 'Сведения о связи с позицией плана-графика': '202103233000332001000012'}"
№ 0116300038421000009,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0116300038421000009,"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ПОСЕЛОК БАТАГАЙ"" ВЕРХОЯНСКОГО РАЙОНА РЕСПУБЛИКИ САХА (ЯКУТИЯ)","Приобретение квартиры для муниципальных нужд администрации МО ""Поселок Батагай"" Верхоянского района Республики Саха (Якутия)",01.07.2021,09.07.2021,09.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Заказчик', 'Наименование объекта закупки': 'Приобретение квартиры для муниципальных нужд администрации МО ""Поселок Батагай"" Верхоянского района Республики Саха (Якутия)', 'Этап закупки': 'Определение поставщика завершено', 'Сведения о связи с позицией плана-графика': '202101163000384001000016'}"
№ 0119200000121008799,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0119200000121008799,АГЕНТСТВО ГОСУДАРСТВЕННОГО ЗАКАЗА КРАСНОЯРСКОГО КРАЯ,ЭА-№-8421/21 Поставка кондиционеров,09.07.2021,09.07.2021,20.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'ЭТП ТЭК-Торг', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.tektorg.ru/', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'ЭА-№-8421/21 Поставка кондиционеров', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103192000361002000105'}"
№ 0119300019821001277,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0119300019821001277,ДЕПАРТАМЕНТ МУНИЦИПАЛЬНОГО ЗАКАЗА АДМИНИСТРАЦИИ ГОРОДА КРАСНОЯРСКА,"Выполнение работ по демонтажу временных сооружений, а также иного имущества на территории Октябрьского района в 2021 году",24.06.2021,09.07.2021,05.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'Выполнение работ по демонтажу временных сооружений, а также иного имущества на территории Октябрьского района в 2021 году', 'Этап закупки': 'Определение поставщика завершено', 'Сведения о связи с позицией плана-графика': '202101193000072003000075'}"
32110419773,https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110419773,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССЕТИ СИБИРЬ"" (Заказчик)",Право заключения договора на поставку элегазовых выключателей 35-110 кВ для нужд филиала ПАО «Россети Сибирь» - «Кузбассэнерго − РЭС»,25.06.2021,25.06.2021,,{}
№ 0139300005821000050,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0139300005821000050,АДМИНИСТРАЦИЯ ТОПКИНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА,"Приобретение жилого помещения детям сиротам и детям, оставшимся без попечения родителей, лицам из их числа",09.07.2021,09.07.2021,19.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'Приобретение жилого помещения детям сиротам и детям, оставшимся без попечения родителей, лицам из их числа', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202101393000342001000014'}"
№ 0851200000621004091,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0851200000621004091,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ НОВОСИБИРСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ КОНТРАКТНОЙ СИСТЕМЫ""",Поставка кольпоскопа,09.07.2021,09.07.2021,19.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'АО «Сбербанк-АСТ»', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.sberbank-ast.ru', 'Размещение осуществляет': 'Уполномоченное учреждение', 'Наименование объекта закупки': 'Поставка кольпоскопа', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103513001071001000068'}"
№ 0119200000121008271,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0119200000121008271,АГЕНТСТВО ГОСУДАРСТВЕННОГО ЗАКАЗА КРАСНОЯРСКОГО КРАЯ,"№ ЭА 9007/21 ""Оснащение гончарной мастерской в рамках реализации федерального проекта «Современная школа» национального проекта «Образование»""",30.06.2021,09.07.2021,20.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'ЭТП ТЭК-Торг', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.tektorg.ru/', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': '№ ЭА 9007/21 ""Оснащение гончарной мастерской в рамках реализации федерального проекта «Современная школа» национального проекта «Образование»""', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103192000401002000059'}"
№ 0122100001121000041,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0122100001121000041,"УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ПО ВЕТЕРИНАРНОМУ И ФИТОСАНИТАРНОМУ НАДЗОРУ ПО ХАБАРОВСКОМУ КРАЮ, ЕВРЕЙСКОЙ АВТОНОМНОЙ И МАГАДАНСКОЙ ОБЛАСТЯМ",Оказание услуг по доставке проб АПК,09.07.2021,09.07.2021,19.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'ЭТП ТЭК-Торг', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.tektorg.ru/', 'Размещение осуществляет': 'Заказчик', 'Наименование объекта закупки': 'Оказание услуг по доставке проб АПК', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202101221000011001000010'}"
№ 0119200000121008800,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0119200000121008800,АГЕНТСТВО ГОСУДАРСТВЕННОГО ЗАКАЗА КРАСНОЯРСКОГО КРАЯ,"ЭА 9099-21 ""Поставка с доставкой дезинфицирующих средств для нужд КГБУЗ КГДБ № 8""",09.07.2021,09.07.2021,20.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'ЭТП Газпромбанк', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'https://etpgpb.ru/', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'ЭА 9099-21 ""Поставка с доставкой дезинфицирующих средств для нужд КГБУЗ КГДБ № 8""', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103192000607001000137'}"
№ 0102200001621002511,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0102200001621002511,РЕСПУБЛИКАНСКОЕ АГЕНТСТВО ПО ГОСУДАРСТВЕННЫМ ЗАКУПКАМ,"Приобретение объектов недвижимого имущества в пгт. Нижнеангарск Северо-Байкальского района Республики Бурятия для обеспечения предоставления жилых помещений детям-сиротам и детям, оставшимся без попечения родителей, лицам из их числа по договорам найма специализированных жилых помещений",09.07.2021,09.07.2021,20.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'Приобретение объектов недвижимого имущества в пгт. Нижнеангарск Северо-Байкальского района Республики Бурятия для обеспечения предоставления жилых помещений детям-сиротам и детям, оставшимся без попечения родителей, лицам из их числа по договорам найма специализированных жилых помещений', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103022000305001000733'}"
№ 0122200002521004169,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0122200002521004169,КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ПРАВИТЕЛЬСТВА ХАБАРОВСКОГО КРАЯ,Поставка лекарственного препарата для медицинского применения Ботулинический токсин типа А – гемагглютинин комплекс,30.06.2021,09.07.2021,08.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'АО «Сбербанк-АСТ»', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.sberbank-ast.ru', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'Поставка лекарственного препарата для медицинского применения Ботулинический токсин типа А – гемагглютинин комплекс', 'Этап закупки': 'Работа комиссии', 'Закупка лекарственного препарата': 'Да', 'Сведения о связи с позицией плана-графика': '202103222000302001000346'}"
№ 0816500000621009084,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0816500000621009084,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ЦЕНТР ЗАКУПОК РЕСПУБЛИКИ САХА (ЯКУТИЯ)""",Поставка реагентов для анализатора кислотно-щелочного и газового состава крови ABL-800 для нужд КЛО,09.07.2021,09.07.2021,19.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Уполномоченное учреждение', 'Наименование объекта закупки': 'Поставка реагентов для анализатора кислотно-щелочного и газового состава крови ABL-800 для нужд КЛО', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103162000070001000364'}"
№ 0851200000621004092,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0851200000621004092,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ НОВОСИБИРСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ КОНТРАКТНОЙ СИСТЕМЫ""",Поставка генераторной установки,09.07.2021,09.07.2021,19.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'АО «Сбербанк-АСТ»', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.sberbank-ast.ru', 'Размещение осуществляет': 'Уполномоченное учреждение', 'Наименование объекта закупки': 'Поставка генераторной установки', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103512000123001000260'}"
№ 0380200000121002435,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0380200000121002435,ГОСУДАРСТВЕННЫЙ КОМИТЕТ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК РЕСПУБЛИКИ ХАКАСИЯ,Поставка изделий медицинского назначения (маска-респиратор),24.05.2021,09.07.2021,02.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'Поставка изделий медицинского назначения (маска-респиратор)', 'Этап закупки': 'Определение поставщика завершено', 'Сведения о связи с позицией плана-графика': '202103802000017001000124'}"
№ 0119200000121006882,https://zakupki.gov.ru/epz/order/notice/ok504/view/common-info.html?regNumber=0119200000121006882,АГЕНТСТВО ГОСУДАРСТВЕННОГО ЗАКАЗА КРАСНОЯРСКОГО КРАЯ,"ОК-№-7717/21 ""Развитие государственной информационной системы ""Определение регионального стандарта стоимости  жилищно-коммунальных услуг""",08.06.2021,09.07.2021,06.07.2021,{}
№ 0851200000621004093,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0851200000621004093,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ НОВОСИБИРСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ КОНТРАКТНОЙ СИСТЕМЫ""","поставка регентов диагностических для анализатора иммуноферментного Чароит, имеющегося у Заказчика",09.07.2021,09.07.2021,19.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'АО «Сбербанк-АСТ»', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.sberbank-ast.ru', 'Размещение осуществляет': 'Уполномоченное учреждение', 'Наименование объекта закупки': 'поставка регентов диагностических для анализатора иммуноферментного Чароит, имеющегося у Заказчика', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103513000389001000070'}"
№ 0102200001621002512,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0102200001621002512,РЕСПУБЛИКАНСКОЕ АГЕНТСТВО ПО ГОСУДАРСТВЕННЫМ ЗАКУПКАМ,"Приобретение объектов недвижимого имущества в с. Кабанск Кабанского района Республики Бурятия для обеспечения предоставления жилых помещений детям-сиротам и детям, оставшимся без попечения родителей, лицам из их числа по договорам найма специализированных жилых помещений",09.07.2021,09.07.2021,20.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'Приобретение объектов недвижимого имущества в с. Кабанск Кабанского района Республики Бурятия для обеспечения предоставления жилых помещений детям-сиротам и детям, оставшимся без попечения родителей, лицам из их числа по договорам найма специализированных жилых помещений', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103022000305001000723'}"
№ 0351200002921000036,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0351200002921000036,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ НОВОСИБИРСКОЙ ОБЛАСТИ ""НОВОСИБИРСКИЙ ОБЛАСТНОЙ КЛИНИЧЕСКИЙ ПРОТИВОТУБЕРКУЛЕЗНЫЙ ДИСПАНСЕР""",Поставка угля каменного,09.07.2021,09.07.2021,19.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Заказчик', 'Наименование объекта закупки': 'Поставка угля каменного', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103512000029001000056'}"
№ 0320300074521000023,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0320300074521000023,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ СТРОИТЕЛЬСТВА И КАПИТАЛЬНОГО РЕМОНТА Г. АРТЕМА""",Благоустройство территории мест общего пользования (автомобильная парковка на территории запасного стадиона),09.07.2021,09.07.2021,19.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Заказчик', 'Наименование объекта закупки': 'Благоустройство территории мест общего пользования (автомобильная парковка на территории запасного стадиона)', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103203000745001000109'}"
№ 0134300097521000377,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0134300097521000377,КОМИТЕТ ПО ЭКОНОМИКЕ И СТРАТЕГИЧЕСКОМУ ПЛАНИРОВАНИЮ АДМИНИСТРАЦИИ ГОРОДА ИРКУТСКА,Оказание услуг по организации и проведению мероприятия «Городская площадь талантов»,09.07.2021,09.07.2021,20.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'Оказание услуг по организации и проведению мероприятия «Городская площадь талантов»', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202101343000900004000136'}"
№ 0119200000121008802,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0119200000121008802,АГЕНТСТВО ГОСУДАРСТВЕННОГО ЗАКАЗА КРАСНОЯРСКОГО КРАЯ,"ЭА 9120-21 ""Поставка дезинфицирующих средств (кожный антисептик) для нужд КГБУЗ КГДБ № 8""",09.07.2021,09.07.2021,20.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'ЭТП Газпромбанк', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'https://etpgpb.ru/', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'ЭА 9120-21 ""Поставка дезинфицирующих средств (кожный антисептик) для нужд КГБУЗ КГДБ № 8""', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103192000607001000136'}"
№ 0322100028021000031,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0322100028021000031,"ХАБАРОВСКИЙ ФИЛИАЛ ФЕДЕРАЛЬНОГО ГОСУДАРСТВЕННОГО БЮДЖЕТНОГО УЧРЕЖДЕНИЯ ""НАЦИОНАЛЬНЫЙ МЕДИЦИНСКИЙ ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ОТОРИНОЛАРИНГОЛОГИИ ФЕДЕРАЛЬНОГО МЕДИКО-БИОЛОГИЧЕСКОГО АГЕНТСТВА""",Поставка изделий медицинского назначения,09.07.2021,09.07.2021,19.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'АО «ЕЭТП»', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://roseltorg.ru', 'Размещение осуществляет': 'Заказчик', 'Наименование объекта закупки': 'Поставка изделий медицинского назначения', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103221000280001000040'}"
№ 0351100000721000055,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0351100000721000055,"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ НАУКИ ""ГОСУДАРСТВЕННЫЙ НАУЧНЫЙ ЦЕНТР ВИРУСОЛОГИИ И БИОТЕХНОЛОГИИ ""ВЕКТОР"" ФЕДЕРАЛЬНОЙ СЛУЖБЫ ПО НАДЗОРУ В СФЕРЕ ЗАЩИТЫ ПРАВ ПОТРЕБИТЕЛЕЙ И БЛАГОПОЛУЧИЯ ЧЕЛОВЕКА",Поставка расходных материалов,09.07.2021,09.07.2021,19.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Заказчик', 'Наименование объекта закупки': 'Поставка расходных материалов', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103511000007001000203'}"
